sample	strainID	count_correct_thresh	f_thresh	replicate	strep_conc	transfers	n_species	community_type	plate_well	batch
8_01	HAMBI_0403	5806	0.2694699712243572	1	0	0	8	master	NA	run20250502
8_01	HAMBI_1287	1779	0.08256752993595098	1	0	0	8	master	NA	run20250502
8_01	HAMBI_1896	2178	0.1010860484544695	1	0	0	8	master	NA	run20250502
8_01	HAMBI_1977	1010	0.04687645038522231	1	0	0	8	master	NA	run20250502
8_01_A01	HAMBI_0403	0	0	1	0	8	8	experiment	A01	run20250502
8_01_A01	HAMBI_1287	9284	0.4241593567251462	1	0	8	8	experiment	A01	run20250502
8_01_A01	HAMBI_1896	1660	0.0758406432748538	1	0	8	8	experiment	A01	run20250502
8_01_A01	HAMBI_1977	0	0	1	0	8	8	experiment	A01	run20250502
8_01_A04	HAMBI_0403	0	0	1	16	8	8	experiment	A04	run20250502
8_01_A04	HAMBI_1287	9857	0.46442706370147	1	16	8	8	experiment	A04	run20250502
8_01_A04	HAMBI_1896	755	0.035572936298529964	1	16	8	8	experiment	A04	run20250502
8_01_A04	HAMBI_1977	0	0	1	16	8	8	experiment	A04	run20250502
8_01_A07	HAMBI_0403	0	0	1	64	8	8	experiment	A07	run20250502
8_01_A07	HAMBI_1287	9360	0.4367708819412039	1	64	8	8	experiment	A07	run20250502
8_01_A07	HAMBI_1896	1355	0.06322911805879608	1	64	8	8	experiment	A07	run20250502
8_01_A07	HAMBI_1977	0	0	1	64	8	8	experiment	A07	run20250502
8_01_A10	HAMBI_0403	0	0	1	256	8	8	experiment	A10	run20250502
8_01_A10	HAMBI_1287	2205	0.1188294891140332	1	256	8	8	experiment	A10	run20250502
8_01_A10	HAMBI_1896	2250	0.1212545807286053	1	256	8	8	experiment	A10	run20250502
8_01_A10	HAMBI_1977	4823	0.2599159301573615	1	256	8	8	experiment	A10	run20250502
8_02	HAMBI_0403	3432	0.20293282876064334	1	0	0	8	master	NA	run20250502
8_02	HAMBI_1287	1434	0.0847918637653737	1	0	0	8	master	NA	run20250502
8_02	HAMBI_1896	2303	0.1361754966887417	1	0	0	8	master	NA	run20250502
8_02	HAMBI_1977	1287	0.07609981078524125	1	0	0	8	master	NA	run20250502
8_02_B01	HAMBI_0403	0	0	1	0	8	8	experiment	B01	run20250502
8_02_B01	HAMBI_1287	10878	0.4189647203820675	1	0	8	8	experiment	B01	run20250502
8_02_B01	HAMBI_1896	2104	0.08103527961793253	1	0	8	8	experiment	B01	run20250502
8_02_B01	HAMBI_1977	0	0	1	0	8	8	experiment	B01	run20250502
8_02_B04	HAMBI_0403	0	0	1	16	8	8	experiment	B04	run20250502
8_02_B04	HAMBI_1287	9570	0.4589487818914253	1	16	8	8	experiment	B04	run20250502
8_02_B04	HAMBI_1896	856	0.04105121810857472	1	16	8	8	experiment	B04	run20250502
8_02_B04	HAMBI_1977	0	0	1	16	8	8	experiment	B04	run20250502
8_02_B07	HAMBI_0403	7363	0.2741250930752048	1	64	8	8	experiment	B07	run20250502
8_02_B07	HAMBI_1287	6067	0.22587490692479523	1	64	8	8	experiment	B07	run20250502
8_02_B07	HAMBI_1896	0	0	1	64	8	8	experiment	B07	run20250502
8_02_B07	HAMBI_1977	0	0	1	64	8	8	experiment	B07	run20250502
8_02_B10	HAMBI_0403	1868	0.0878728008279236	1	256	8	8	experiment	B10	run20250502
8_02_B10	HAMBI_1287	3889	0.18294289208768463	1	256	8	8	experiment	B10	run20250502
8_02_B10	HAMBI_1896	2000	0.0940822278671559	1	256	8	8	experiment	B10	run20250502
8_02_B10	HAMBI_1977	2872	0.13510207921723585	1	256	8	8	experiment	B10	run20250502
8_03	HAMBI_0403	0	0	1	0	0	8	master	NA	run20250502
8_03	HAMBI_1287	7084	0.34610123119015046	1	0	0	8	master	NA	run20250502
