sample	strainID	evo_hist	count_correct_thresh	f_thresh	target_f_masterplate	replicate	strep_conc	transfers	n_species	community_type	plate_well	batch
P06_1_0	HAMBI_0403	anc	21818	0.7713083748718492	0.9	1	0	8	2	experiment	H01	run202410124
P06_1_0	HAMBI_1287	evo	6469	0.22869162512815075	0.1	1	0	8	2	experiment	H01	run202410124
P06_2_0	HAMBI_0403	anc	14223	0.76406124093473	0.9	2	0	8	2	experiment	H02	run202410124
P06_2_0	HAMBI_1287	evo	4392	0.23593875906526995	0.1	2	0	8	2	experiment	H02	run202410124
P06_s_0	HAMBI_0403	anc	12544	0.9523954141674892	0.9	1	0	0	2	masterplate	H01	run202410124
P06_s_0	HAMBI_1287	evo	627	0.04760458583251082	0.1	1	0	0	2	masterplate	H01	run202410124
P07_1_0	HAMBI_0403	evo	0	0	0.9	1	0	8	2	experiment	H03	run202410124
P07_1_0	HAMBI_1977	anc	16127	1	0.1	1	0	8	2	experiment	H03	run202410124
P07_2_0	HAMBI_0403	evo	0	0	0.9	2	0	8	2	experiment	H04	run202410124
P07_2_0	HAMBI_1977	anc	15424	1	0.1	2	0	8	2	experiment	H04	run202410124
P07_s_0	HAMBI_0403	evo	7708	0.7575429975429976	0.9	1	0	0	2	masterplate	H02	run202410124
P07_s_0	HAMBI_1977	anc	2467	0.24245700245700247	0.1	1	0	0	2	masterplate	H02	run202410124
P19_1_0	HAMBI_1287	evo	6567	0.3898949118328089	0.9	1	0	8	2	experiment	H05	run202410124
P19_1_0	HAMBI_1896	anc	10276	0.6101050881671911	0.1	1	0	8	2	experiment	H05	run202410124
P19_2_0	HAMBI_1287	evo	4411	0.34625951801554283	0.9	2	0	8	2	experiment	H06	run202410124
P19_2_0	HAMBI_1896	anc	8328	0.6537404819844572	0.1	2	0	8	2	experiment	H06	run202410124
P19_s_0	HAMBI_1287	evo	2408	0.3897070723418029	0.9	1	0	0	2	masterplate	H03	run202410124
P19_s_0	HAMBI_1896	anc	3771	0.6102929276581971	0.1	1	0	0	2	masterplate	H03	run202410124
P20_1_0	HAMBI_1287	evo	5778	0.39389188083713955	0.9	1	0	8	2	experiment	H07	run202410124
P20_1_0	HAMBI_1896	evo	8891	0.6061081191628604	0.1	1	0	8	2	experiment	H07	run202410124
P20_2_0	HAMBI_1287	evo	4666	0.38625827814569536	0.9	2	0	8	2	experiment	H08	run202410124
P20_2_0	HAMBI_1896	evo	7414	0.6137417218543046	0.1	2	0	8	2	experiment	H08	run202410124
P20_s_0	HAMBI_1287	evo	6592	0.540327868852459	0.9	1	0	0	2	masterplate	H04	run202410124
P20_s_0	HAMBI_1896	evo	5608	0.45967213114754096	0.1	1	0	0	2	masterplate	H04	run202410124
P43_1_0	HAMBI_1287	evo	4403	0.3281902206320811	0.1	1	0	8	2	experiment	H09	run202410124
P43_1_0	HAMBI_1896	anc	9013	0.6718097793679189	0.9	1	0	8	2	experiment	H09	run202410124
P43_2_0	HAMBI_1287	evo	3552	0.3437197600154829	0.1	2	0	8	2	experiment	H10	run202410124
P43_2_0	HAMBI_1896	anc	6782	0.6562802399845171	0.9	2	0	8	2	experiment	H10	run202410124
P43_s_0	HAMBI_1287	evo	0	0	0.1	1	0	0	2	masterplate	H05	run202410124
P43_s_0	HAMBI_1896	anc	14467	1	0.9	1	0	0	2	masterplate	H05	run202410124
P44_1_0	HAMBI_1287	evo	3527	0.39496080627099667	0.1	1	0	8	2	experiment	H11	run202410124
P44_1_0	HAMBI_1896	evo	5403	0.6050391937290034	0.9	1	0	8	2	experiment	H11	run202410124
P44_2_0	HAMBI_1287	evo	3580	0.3467312348668281	0.1	2	0	8	2	experiment	H12	run202410124
P44_2_0	HAMBI_1896	evo	6745	0.6532687651331719	0.9	2	0	8	2	experiment	H12	run202410124
P44_s_0	HAMBI_1287	evo	0	0	0.1	1	0	0	2	masterplate	H06	run202410124
P44_s_0	HAMBI_1896	evo	9470	1	0.9	1	0	0	2	masterplate	H06	run202410124
