sample	strainID	evo_hist	count_correct_thresh	f_thresh	target_f_masterplate	replicate	strep_conc	transfers	n_species	community_type	plate_well	batch
3_p01_A01	HAMBI_0403	anc	0	0	0.1	1	0	8	3	experiment	A01	run202410124
3_p01_A01	HAMBI_1287	anc	16956	0.814526588845655	0.1	1	0	8	3	experiment	A01	run202410124
3_p01_A01	HAMBI_1896	anc	3861	0.185473411154345	0.8	1	0	8	3	experiment	A01	run202410124
3_p01_A02	HAMBI_0403	anc	0	0	0.1	1	0	8	3	experiment	A02	run202410124
3_p01_A02	HAMBI_1287	anc	8272	0.5414321246236419	0.1	1	0	8	3	experiment	A02	run202410124
3_p01_A02	HAMBI_1977	anc	7006	0.4585678753763582	0.8	1	0	8	3	experiment	A02	run202410124
3_p01_A03	HAMBI_0403	anc	0	0	0.1	1	0	8	3	experiment	A03	run202410124
3_p01_A03	HAMBI_1287	anc	16968	1	0.1	1	0	8	3	experiment	A03	run202410124
3_p01_A03	HAMBI_1896	evo	0	0	0.8	1	0	8	3	experiment	A03	run202410124
3_p01_A04	HAMBI_0403	anc	0	0	0.1	1	0	8	3	experiment	A04	run202410124
3_p01_A04	HAMBI_1287	anc	18197	1	0.1	1	0	8	3	experiment	A04	run202410124
3_p01_A04	HAMBI_1977	evo	0	0	0.8	1	0	8	3	experiment	A04	run202410124
3_p01_A05	HAMBI_0403	anc	0	0	0.1	1	0	8	3	experiment	A05	run202410124
3_p01_A05	HAMBI_1287	anc	14395	0.85817336353881	0.8	1	0	8	3	experiment	A05	run202410124
3_p01_A05	HAMBI_1896	anc	2379	0.14182663646118993	0.1	1	0	8	3	experiment	A05	run202410124
3_p01_A06	HAMBI_0403	anc	0	0	0.1	1	0	8	3	experiment	A06	run202410124
3_p01_A06	HAMBI_1287	anc	16302	1	0.8	1	0	8	3	experiment	A06	run202410124
3_p01_A06	HAMBI_1977	anc	0	0	0.1	1	0	8	3	experiment	A06	run202410124
3_p01_A07	HAMBI_0403	anc	0	0	0.1	1	0	8	3	experiment	A07	run202410124
3_p01_A07	HAMBI_1287	anc	19383	1	0.8	1	0	8	3	experiment	A07	run202410124
3_p01_A07	HAMBI_1896	evo	0	0	0.1	1	0	8	3	experiment	A07	run202410124
3_p01_A08	HAMBI_0403	anc	0	0	0.1	1	0	8	3	experiment	A08	run202410124
3_p01_A08	HAMBI_1287	anc	20640	1	0.8	1	0	8	3	experiment	A08	run202410124
3_p01_A08	HAMBI_1977	evo	0	0	0.1	1	0	8	3	experiment	A08	run202410124
3_p01_A09	HAMBI_0403	anc	0	0	0.1	1	0	8	3	experiment	A09	run202410124
3_p01_A09	HAMBI_1896	anc	4247	0.25472320518203084	0.8	1	0	8	3	experiment	A09	run202410124
3_p01_A09	HAMBI_1977	anc	12426	0.7452767948179692	0.1	1	0	8	3	experiment	A09	run202410124
3_p01_A10	HAMBI_0403	anc	0	0	0.1	1	0	8	3	experiment	A10	run202410124
3_p01_A10	HAMBI_1896	evo	3101	0.18183417380086783	0.8	1	0	8	3	experiment	A10	run202410124
3_p01_A10	HAMBI_1977	anc	13953	0.8181658261991321	0.1	1	0	8	3	experiment	A10	run202410124
3_p01_A11	HAMBI_0403	anc	0	0	0.1	1	0	8	3	experiment	A11	run202410124
3_p01_A11	HAMBI_1896	anc	4179	0.2530733361593896	0.1	1	0	8	3	experiment	A11	run202410124
3_p01_A11	HAMBI_1977	anc	12334	0.7469266638406105	0.8	1	0	8	3	experiment	A11	run202410124
3_p01_A12	HAMBI_0403	anc	0	0	0.1	1	0	8	3	experiment	A12	run202410124
3_p01_A12	HAMBI_1896	evo	2779	0.16967883746489193	0.1	1	0	8	3	experiment	A12	run202410124
3_p01_A12	HAMBI_1977	anc	13599	0.8303211625351081	0.8	1	0	8	3	experiment	A12	run202410124
3_p01_B01	HAMBI_0403	evo	0	0	0.1	1	0	8	3	experiment	B01	run202410124
3_p01_B01	HAMBI_1287	anc	21327	1	0.1	1	0	8	3	experiment	B01	run202410124
3_p01_B01	HAMBI_1896	anc	0	0	0.8	1	0	8	3	experiment	B01	run202410124
3_p01_B02	HAMBI_0403	evo	0	0	0.1	1	0	8	3	experiment	B02	run202410124
3_p01_B02	HAMBI_1287	anc	17876	1	0.1	1	0	8	3	experiment	B02	run202410124
3_p01_B02	HAMBI_1977	anc	0	0	0.8	1	0	8	3	experiment	B02	run202410124
