sample	strainID	count_correct	sample_tot_raw	f_raw	community_id	n_species	community_type	replicate	plate_well	notes	batch
3sp_1_0	HAMBI_0006	0	12125	0	T01	3	pos_ctrl	1	07A	These are samples from the trios masterplate, but with DNA extraction done with a Qiagen kit. The goal is to use these “high quality” qiagen samples to correct for the biases in the boil prep.	run20240711
3sp_1_0	HAMBI_0097	0	12125	0	T01	3	pos_ctrl	1	07A	These are samples from the trios masterplate, but with DNA extraction done with a Qiagen kit. The goal is to use these “high quality” qiagen samples to correct for the biases in the boil prep.	run20240711
3sp_1_0	HAMBI_0105	0	12125	0	T01	3	pos_ctrl	1	07A	These are samples from the trios masterplate, but with DNA extraction done with a Qiagen kit. The goal is to use these “high quality” qiagen samples to correct for the biases in the boil prep.	run20240711
3sp_1_0	HAMBI_0262	0	12125	0	T01	3	pos_ctrl	1	07A	These are samples from the trios masterplate, but with DNA extraction done with a Qiagen kit. The goal is to use these “high quality” qiagen samples to correct for the biases in the boil prep.	run20240711
3sp_1_0	HAMBI_0403	10766	12125	0.8879175257731958	T01	3	pos_ctrl	1	07A	These are samples from the trios masterplate, but with DNA extraction done with a Qiagen kit. The goal is to use these “high quality” qiagen samples to correct for the biases in the boil prep.	run20240711
3sp_1_0	HAMBI_1279	0	12125	0	T01	3	pos_ctrl	1	07A	These are samples from the trios masterplate, but with DNA extraction done with a Qiagen kit. The goal is to use these “high quality” qiagen samples to correct for the biases in the boil prep.	run20240711
3sp_1_0	HAMBI_1287	698	12125	0.05756701030927835	T01	3	pos_ctrl	1	07A	These are samples from the trios masterplate, but with DNA extraction done with a Qiagen kit. The goal is to use these “high quality” qiagen samples to correct for the biases in the boil prep.	run20240711
3sp_1_0	HAMBI_1292	0	12125	0	T01	3	pos_ctrl	1	07A	These are samples from the trios masterplate, but with DNA extraction done with a Qiagen kit. The goal is to use these “high quality” qiagen samples to correct for the biases in the boil prep.	run20240711
3sp_1_0	HAMBI_1299	0	12125	0	T01	3	pos_ctrl	1	07A	These are samples from the trios masterplate, but with DNA extraction done with a Qiagen kit. The goal is to use these “high quality” qiagen samples to correct for the biases in the boil prep.	run20240711
3sp_1_0	HAMBI_1842	0	12125	0	T01	3	pos_ctrl	1	07A	These are samples from the trios masterplate, but with DNA extraction done with a Qiagen kit. The goal is to use these “high quality” qiagen samples to correct for the biases in the boil prep.	run20240711
3sp_1_0	HAMBI_1896	620	12125	0.0511340206185567	T01	3	pos_ctrl	1	07A	These are samples from the trios masterplate, but with DNA extraction done with a Qiagen kit. The goal is to use these “high quality” qiagen samples to correct for the biases in the boil prep.	run20240711
3sp_1_0	HAMBI_1972	0	12125	0	T01	3	pos_ctrl	1	07A	These are samples from the trios masterplate, but with DNA extraction done with a Qiagen kit. The goal is to use these “high quality” qiagen samples to correct for the biases in the boil prep.	run20240711
3sp_1_0	HAMBI_1977	41	12125	0.003381443298969072	T01	3	pos_ctrl	1	07A	These are samples from the trios masterplate, but with DNA extraction done with a Qiagen kit. The goal is to use these “high quality” qiagen samples to correct for the biases in the boil prep.	run20240711
3sp_1_0	HAMBI_1988	0	12125	0	T01	3	pos_ctrl	1	07A	These are samples from the trios masterplate, but with DNA extraction done with a Qiagen kit. The goal is to use these “high quality” qiagen samples to correct for the biases in the boil prep.	run20240711
3sp_1_0	HAMBI_2159	0	12125	0	T01	3	pos_ctrl	1	07A	These are samples from the trios masterplate, but with DNA extraction done with a Qiagen kit. The goal is to use these “high quality” qiagen samples to correct for the biases in the boil prep.	run20240711
3sp_1_0	HAMBI_2160	0	12125	0	T01	3	pos_ctrl	1	07A	These are samples from the trios masterplate, but with DNA extraction done with a Qiagen kit. The goal is to use these “high quality” qiagen samples to correct for the biases in the boil prep.	run20240711
3sp_1_0	HAMBI_2164	0	12125	0	T01	3	pos_ctrl	1	07A	These are samples from the trios masterplate, but with DNA extraction done with a Qiagen kit. The goal is to use these “high quality” qiagen samples to correct for the biases in the boil prep.	run20240711
3sp_1_0	HAMBI_2443	0	12125	0	T01	3	pos_ctrl	1	07A	These are samples from the trios masterplate, but with DNA extraction done with a Qiagen kit. The goal is to use these “high quality” qiagen samples to correct for the biases in the boil prep.	run20240711
3sp_1_0	HAMBI_2494	0	12125	0	T01	3	pos_ctrl	1	07A	These are samples from the trios masterplate, but with DNA extraction done with a Qiagen kit. The goal is to use these “high quality” qiagen samples to correct for the biases in the boil prep.	run20240711
3sp_1_0	HAMBI_2659	0	12125	0	T01	3	pos_ctrl	1	07A	These are samples from the trios masterplate, but with DNA extraction done with a Qiagen kit. The goal is to use these “high quality” qiagen samples to correct for the biases in the boil prep.	run20240711
3sp_1_0	HAMBI_2792	0	12125	0	T01	3	pos_ctrl	1	07A	These are samples from the trios masterplate, but with DNA extraction done with a Qiagen kit. The goal is to use these “high quality” qiagen samples to correct for the biases in the boil prep.	run20240711
3sp_1_0	HAMBI_3031	0	12125	0	T01	3	pos_ctrl	1	07A	These are samples from the trios masterplate, but with DNA extraction done with a Qiagen kit. The goal is to use these “high quality” qiagen samples to correct for the biases in the boil prep.	run20240711
3sp_1_0	HAMBI_3237	0	12125	0	T01	3	pos_ctrl	1	07A	These are samples from the trios masterplate, but with DNA extraction done with a Qiagen kit. The goal is to use these “high quality” qiagen samples to correct for the biases in the boil prep.	run20240711
3sp_2_0	HAMBI_0006	0	12316	0	T03	3	pos_ctrl	2	07B	These are samples from the trios masterplate, but with DNA extraction done with a Qiagen kit. The goal is to use these “high quality” qiagen samples to correct for the biases in the boil prep.	run20240711
3sp_2_0	HAMBI_0097	0	12316	0	T03	3	pos_ctrl	2	07B	These are samples from the trios masterplate, but with DNA extraction done with a Qiagen kit. The goal is to use these “high quality” qiagen samples to correct for the biases in the boil prep.	run20240711
3sp_2_0	HAMBI_0105	0	12316	0	T03	3	pos_ctrl	2	07B	These are samples from the trios masterplate, but with DNA extraction done with a Qiagen kit. The goal is to use these “high quality” qiagen samples to correct for the biases in the boil prep.	run20240711
3sp_2_0	HAMBI_0262	0	12316	0	T03	3	pos_ctrl	2	07B	These are samples from the trios masterplate, but with DNA extraction done with a Qiagen kit. The goal is to use these “high quality” qiagen samples to correct for the biases in the boil prep.	run20240711
3sp_2_0	HAMBI_0403	3406	12316	0.2765508281909711	T03	3	pos_ctrl	2	07B	These are samples from the trios masterplate, but with DNA extraction done with a Qiagen kit. The goal is to use these “high quality” qiagen samples to correct for the biases in the boil prep.	run20240711
3sp_2_0	HAMBI_1279	0	12316	0	T03	3	pos_ctrl	2	07B	These are samples from the trios masterplate, but with DNA extraction done with a Qiagen kit. The goal is to use these “high quality” qiagen samples to correct for the biases in the boil prep.	run20240711
3sp_2_0	HAMBI_1287	1206	12316	0.09792140305293927	T03	3	pos_ctrl	2	07B	These are samples from the trios masterplate, but with DNA extraction done with a Qiagen kit. The goal is to use these “high quality” qiagen samples to correct for the biases in the boil prep.	run20240711
3sp_2_0	HAMBI_1292	0	12316	0	T03	3	pos_ctrl	2	07B	These are samples from the trios masterplate, but with DNA extraction done with a Qiagen kit. The goal is to use these “high quality” qiagen samples to correct for the biases in the boil prep.	run20240711
3sp_2_0	HAMBI_1299	0	12316	0	T03	3	pos_ctrl	2	07B	These are samples from the trios masterplate, but with DNA extraction done with a Qiagen kit. The goal is to use these “high quality” qiagen samples to correct for the biases in the boil prep.	run20240711
3sp_2_0	HAMBI_1842	0	12316	0	T03	3	pos_ctrl	2	07B	These are samples from the trios masterplate, but with DNA extraction done with a Qiagen kit. The goal is to use these “high quality” qiagen samples to correct for the biases in the boil prep.	run20240711
